timestep,value
0.000000,-0.571962
1.000000,-0.587341
2.000000,-0.602238
3.000000,-0.616575
4.000000,-0.629772
5.000000,-0.642186
6.000000,-0.653942
7.000000,-0.664800
8.000000,-0.674702
9.000000,-0.684007
10.000000,-0.692788
11.000000,-0.700754
12.000000,-0.708154
13.000000,-0.714539
14.000000,-0.720088
15.000000,-0.724799
16.000000,-0.728946
17.000000,-0.732633
18.000000,-0.735795
19.000000,-0.738219
20.000000,-0.739754
21.000000,-0.739896
22.000000,-0.738951
23.000000,-0.736880
24.000000,-0.733802
25.000000,-0.729801
26.000000,-0.725192
27.000000,-0.719781
28.000000,-0.713518
29.000000,-0.705982
30.000000,-0.697412
31.000000,-0.687980
32.000000,-0.677711
33.000000,-0.667212
34.000000,-0.656154
35.000000,-0.644513
36.000000,-0.631962
37.000000,-0.618662
38.000000,-0.604624
39.000000,-0.589875
40.000000,-0.574413
41.000000,-0.558569
42.000000,-0.542427
43.000000,-0.526063
44.000000,-0.509546
45.000000,-0.492432
46.000000,-0.475098
47.000000,-0.457293
48.000000,-0.438997
49.000000,-0.420355
50.000000,-0.401780
51.000000,-0.383150
52.000000,-0.364040
53.000000,-0.344533
54.000000,-0.325072
55.000000,-0.305202
56.000000,-0.284999
57.000000,-0.264815
58.000000,-0.240552
59.000000,-0.216700
60.000000,-0.193181
61.000000,-0.169607
62.000000,-0.145606
63.000000,-0.121319
64.000000,-0.097344
65.000000,-0.073330
66.000000,-0.049443
67.000000,-0.025822
68.000000,-0.002473
69.000000,0.020386
70.000000,0.043188
71.000000,0.066305
72.000000,0.089129
73.000000,0.111615
74.000000,0.133767
75.000000,0.155324
76.000000,0.176475
77.000000,0.197623
78.000000,0.218838
79.000000,0.239795
80.000000,0.263167
81.000000,0.283118
82.000000,0.302886
83.000000,0.325318
84.000000,0.346884
85.000000,0.367729
86.000000,0.388272
87.000000,0.408057
88.000000,0.427299
89.000000,0.446045
90.000000,0.463942
91.000000,0.481058
92.000000,0.497589
93.000000,0.513414
94.000000,0.528848
95.000000,0.543804
96.000000,0.557905
97.000000,0.571159
98.000000,0.583719
99.000000,0.595524
100.000000,0.606611
101.000000,0.619051
102.000000,0.630698
103.000000,0.641228
104.000000,0.650446
105.000000,0.658574
106.000000,0.665851
107.000000,0.672767
108.000000,0.678646
109.000000,0.683609
110.000000,0.687487
111.000000,0.690244
112.000000,0.692460
113.000000,0.694520
114.000000,0.695475
115.000000,0.695442
116.000000,0.694561
117.000000,0.692606
118.000000,0.689615
119.000000,0.685893
120.000000,0.681581
121.000000,0.675840
122.000000,0.669244
123.000000,0.662287
124.000000,0.654829
125.000000,0.646266
126.000000,0.637013
127.000000,0.626583
128.000000,0.614818
129.000000,0.602322
130.000000,0.589353
131.000000,0.575606
132.000000,0.560562
133.000000,0.544618
134.000000,0.527588
135.000000,0.509348
136.000000,0.488474
137.000000,0.467729
138.000000,0.446814
139.000000,0.424892
140.000000,0.401954
141.000000,0.376502
142.000000,0.350081
143.000000,0.322347
144.000000,0.294279
145.000000,0.263725
146.000000,0.234424
147.000000,0.201782
148.000000,0.168411
149.000000,0.135510
150.000000,0.101763
151.000000,0.067142
152.000000,0.029745
153.000000,-0.008039
154.000000,-0.046492
155.000000,-0.084549
156.000000,-0.124885
157.000000,-0.165111
158.000000,-0.205813
159.000000,-0.249238
160.000000,-0.293272
161.000000,-0.337497
162.000000,-0.381568
163.000000,-0.426059
164.000000,-0.472008
165.000000,-0.517722
166.000000,-0.566673
167.000000,-0.615862
168.000000,-0.664726
169.000000,-0.713234
170.000000,-0.765175
171.000000,-0.817554
172.000000,-0.872796
173.000000,-0.927713
174.000000,-0.982159
175.000000,-1.039090
176.000000,-1.098051
177.000000,-1.155571
178.000000,-1.212588
179.000000,-1.271236
180.000000,-1.329215
181.000000,-1.388872
182.000000,-1.449788
183.000000,-1.509457
184.000000,-1.570373
185.000000,-1.633335
186.000000,-1.692053
187.000000,-1.743644
188.000000,-1.791413
189.000000,-1.833130
190.000000,-1.872441
191.000000,-1.908631
192.000000,-1.940391
193.000000,-1.971555
194.000000,-2.001410
195.000000,-2.028873
196.000000,-2.052366
197.000000,-2.075264
198.000000,-2.096051
199.000000,-2.117171
200.000000,-2.135461
201.000000,-2.149695
202.000000,-2.161404
203.000000,-2.172496
204.000000,-2.180153
205.000000,-2.185157
206.000000,-2.190264
207.000000,-2.190274
208.000000,-2.186970
209.000000,-2.179265
210.000000,-2.168236
211.000000,-2.154548
212.000000,-2.141006
213.000000,-2.125836
214.000000,-2.109415
215.000000,-2.091061
216.000000,-2.071130
217.000000,-2.051772
218.000000,-2.032132
219.000000,-2.010763
220.000000,-1.989692
221.000000,-1.966440
222.000000,-1.943194
223.000000,-1.920337
224.000000,-1.896771
225.000000,-1.872140
226.000000,-1.849249
227.000000,-1.825511
228.000000,-1.802204
229.000000,-1.780176
230.000000,-1.757535
231.000000,-1.735762
232.000000,-1.715100
233.000000,-1.694805
234.000000,-1.674253
235.000000,-1.654427
236.000000,-1.636702
237.000000,-1.619073
238.000000,-1.600714
239.000000,-1.582886
240.000000,-1.566358
241.000000,-1.549931
242.000000,-1.534324
243.000000,-1.520180
244.000000,-1.505942
245.000000,-1.493415
246.000000,-1.482018
247.000000,-1.470495
248.000000,-1.459229
249.000000,-1.449565
250.000000,-1.439838
251.000000,-1.431001
252.000000,-1.421442
253.000000,-1.412238
254.000000,-1.404638
255.000000,-1.397468
256.000000,-1.390961
257.000000,-1.385567
258.000000,-1.379139
259.000000,-1.372500
260.000000,-1.367378
261.000000,-1.363636
262.000000,-1.358050
263.000000,-1.352946
264.000000,-1.349704
265.000000,-1.347653
266.000000,-1.343893
267.000000,-1.339609
