timestep,value
0.000000,-0.572952
1.000000,-0.589118
2.000000,-0.604524
3.000000,-0.619030
4.000000,-0.632423
5.000000,-0.644676
6.000000,-0.656116
7.000000,-0.666783
8.000000,-0.676334
9.000000,-0.684708
10.000000,-0.692307
11.000000,-0.699135
12.000000,-0.705032
13.000000,-0.710100
14.000000,-0.714388
15.000000,-0.717369
16.000000,-0.719040
17.000000,-0.719819
18.000000,-0.719829
19.000000,-0.718778
20.000000,-0.717220
21.000000,-0.714873
22.000000,-0.711579
23.000000,-0.707158
24.000000,-0.702016
25.000000,-0.696312
26.000000,-0.689873
27.000000,-0.682593
28.000000,-0.674830
29.000000,-0.666542
30.000000,-0.657584
31.000000,-0.647906
32.000000,-0.637510
33.000000,-0.626466
34.000000,-0.614783
35.000000,-0.602484
36.000000,-0.589545
37.000000,-0.576003
38.000000,-0.561958
39.000000,-0.547603
40.000000,-0.532695
41.000000,-0.517750
42.000000,-0.502615
43.000000,-0.487027
44.000000,-0.470937
45.000000,-0.454430
46.000000,-0.437745
47.000000,-0.420703
48.000000,-0.403171
49.000000,-0.385157
50.000000,-0.362589
51.000000,-0.339727
52.000000,-0.316501
53.000000,-0.292740
54.000000,-0.268519
55.000000,-0.244429
56.000000,-0.220515
57.000000,-0.196346
58.000000,-0.172163
59.000000,-0.147944
60.000000,-0.123388
61.000000,-0.098625
62.000000,-0.074150
63.000000,-0.049711
64.000000,-0.025449
65.000000,-0.002001
66.000000,0.021500
67.000000,0.045013
68.000000,0.068186
69.000000,0.090965
70.000000,0.113809
71.000000,0.136572
72.000000,0.158899
73.000000,0.180284
74.000000,0.201119
75.000000,0.221853
76.000000,0.242106
77.000000,0.261915
78.000000,0.281559
79.000000,0.300563
80.000000,0.319122
81.000000,0.337303
82.000000,0.354612
83.000000,0.371581
84.000000,0.388296
85.000000,0.404378
86.000000,0.419884
87.000000,0.434915
88.000000,0.449307
89.000000,0.462778
90.000000,0.475661
91.000000,0.487926
92.000000,0.499530
93.000000,0.510221
94.000000,0.520129
95.000000,0.529787
96.000000,0.538869
97.000000,0.547054
98.000000,0.554192
99.000000,0.560568
100.000000,0.566062
101.000000,0.571034
102.000000,0.575054
103.000000,0.578790
104.000000,0.582319
105.000000,0.584604
106.000000,0.585648
107.000000,0.585770
108.000000,0.584650
109.000000,0.582337
110.000000,0.579510
111.000000,0.575813
112.000000,0.570989
113.000000,0.564934
114.000000,0.557884
115.000000,0.549732
116.000000,0.540639
117.000000,0.530418
118.000000,0.519089
119.000000,0.506838
120.000000,0.494421
121.000000,0.481087
122.000000,0.467169
123.000000,0.452809
124.000000,0.437880
125.000000,0.422162
126.000000,0.405480
127.000000,0.388105
128.000000,0.369916
129.000000,0.351057
130.000000,0.331396
131.000000,0.311575
132.000000,0.290980
133.000000,0.269972
134.000000,0.248300
135.000000,0.225886
136.000000,0.203167
137.000000,0.180668
138.000000,0.154363
139.000000,0.128401
140.000000,0.102317
141.000000,0.075762
142.000000,0.048624
143.000000,0.021400
144.000000,-0.005944
145.000000,-0.033743
146.000000,-0.061766
147.000000,-0.089056
148.000000,-0.116243
149.000000,-0.143658
150.000000,-0.170819
151.000000,-0.198553
152.000000,-0.226363
153.000000,-0.253273
154.000000,-0.279799
155.000000,-0.306367
