timestep,value
0.000000,-0.572329
1.000000,-0.588047
2.000000,-0.603151
3.000000,-0.617625
4.000000,-0.630831
5.000000,-0.643190
6.000000,-0.654936
7.000000,-0.665710
8.000000,-0.675392
9.000000,-0.684469
10.000000,-0.692862
11.000000,-0.700589
12.000000,-0.707507
13.000000,-0.713785
14.000000,-0.718923
15.000000,-0.722966
16.000000,-0.726337
17.000000,-0.729032
18.000000,-0.730919
19.000000,-0.732454
20.000000,-0.733150
21.000000,-0.733202
22.000000,-0.732393
23.000000,-0.730723
24.000000,-0.728399
25.000000,-0.725239
26.000000,-0.721442
27.000000,-0.715792
28.000000,-0.709291
29.000000,-0.701674
30.000000,-0.693137
31.000000,-0.683798
32.000000,-0.673300
33.000000,-0.661861
34.000000,-0.649680
35.000000,-0.637170
36.000000,-0.623823
37.000000,-0.609806
38.000000,-0.595215
39.000000,-0.580196
40.000000,-0.564481
41.000000,-0.547945
42.000000,-0.530668
43.000000,-0.512733
44.000000,-0.494242
45.000000,-0.475739
46.000000,-0.456650
47.000000,-0.437472
48.000000,-0.417958
49.000000,-0.398288
50.000000,-0.378130
51.000000,-0.357537
52.000000,-0.336733
53.000000,-0.316135
54.000000,-0.295105
55.000000,-0.273586
56.000000,-0.252123
57.000000,-0.230875
58.000000,-0.209390
59.000000,-0.187577
60.000000,-0.166121
61.000000,-0.144531
62.000000,-0.122681
63.000000,-0.100914
64.000000,-0.079993
65.000000,-0.058971
66.000000,-0.037964
67.000000,-0.017096
68.000000,0.003866
69.000000,0.024877
70.000000,0.049647
71.000000,0.074084
72.000000,0.098607
73.000000,0.122026
74.000000,0.144833
75.000000,0.167645
76.000000,0.190198
77.000000,0.212252
78.000000,0.233602
79.000000,0.254855
80.000000,0.275968
81.000000,0.296331
82.000000,0.315925
83.000000,0.334868
84.000000,0.353539
85.000000,0.371810
86.000000,0.389520
87.000000,0.407183
88.000000,0.424279
89.000000,0.440611
90.000000,0.455968
91.000000,0.470716
92.000000,0.484924
93.000000,0.498513
94.000000,0.511275
95.000000,0.523429
96.000000,0.535455
97.000000,0.546867
98.000000,0.557413
99.000000,0.567245
100.000000,0.576338
101.000000,0.585828
102.000000,0.594231
103.000000,0.602187
104.000000,0.609492
105.000000,0.615773
106.000000,0.620986
107.000000,0.625062
108.000000,0.628130
109.000000,0.631002
110.000000,0.633075
111.000000,0.634038
112.000000,0.634037
113.000000,0.633121
114.000000,0.631089
115.000000,0.628446
116.000000,0.625896
117.000000,0.622490
118.000000,0.617743
119.000000,0.611637
120.000000,0.604664
121.000000,0.596368
122.000000,0.587049
123.000000,0.576569
124.000000,0.565296
125.000000,0.553934
126.000000,0.541555
127.000000,0.528819
128.000000,0.514721
129.000000,0.499782
130.000000,0.483899
131.000000,0.467699
132.000000,0.449399
133.000000,0.430017
134.000000,0.409422
135.000000,0.388003
136.000000,0.366392
137.000000,0.344535
138.000000,0.322208
139.000000,0.299541
140.000000,0.276320
141.000000,0.252403
142.000000,0.227891
143.000000,0.202486
144.000000,0.173653
145.000000,0.144676
146.000000,0.115721
147.000000,0.086500
148.000000,0.056592
149.000000,0.026660
150.000000,-0.003161
151.000000,-0.033033
152.000000,-0.063778
153.000000,-0.094806
154.000000,-0.128137
155.000000,-0.159450
156.000000,-0.191023
157.000000,-0.225281
158.000000,-0.259814
159.000000,-0.293900
160.000000,-0.327919
161.000000,-0.361873
162.000000,-0.395882
163.000000,-0.429371
164.000000,-0.462829
165.000000,-0.496385
166.000000,-0.530060
167.000000,-0.566224
168.000000,-0.602127
169.000000,-0.637238
170.000000,-0.672091
171.000000,-0.706671
172.000000,-0.743653
173.000000,-0.780017
174.000000,-0.815652
175.000000,-0.850391
176.000000,-0.884290
177.000000,-0.920462
178.000000,-0.955979
179.000000,-0.992999
180.000000,-1.029137
181.000000,-1.064545
182.000000,-1.098996
183.000000,-1.134169
184.000000,-1.168130
185.000000,-1.200938
186.000000,-1.235060
187.000000,-1.267203
188.000000,-1.300540
189.000000,-1.336966
190.000000,-1.371475
191.000000,-1.405749
192.000000,-1.439661
193.000000,-1.470156
194.000000,-1.497629
195.000000,-1.524154
196.000000,-1.549131
197.000000,-1.571714
198.000000,-1.592489
199.000000,-1.611002
200.000000,-1.626132
201.000000,-1.638494
202.000000,-1.648240
203.000000,-1.656797
204.000000,-1.661825
205.000000,-1.664390
206.000000,-1.661958
207.000000,-1.656902
208.000000,-1.648990
209.000000,-1.638606
210.000000,-1.627139
211.000000,-1.615083
212.000000,-1.601186
213.000000,-1.585788
214.000000,-1.568263
215.000000,-1.551458
216.000000,-1.533077
217.000000,-1.514708
218.000000,-1.497331
219.000000,-1.479141
220.000000,-1.460170
221.000000,-1.440223
222.000000,-1.420361
223.000000,-1.400977
224.000000,-1.382605
225.000000,-1.364586
226.000000,-1.346030
227.000000,-1.327844
228.000000,-1.311663
229.000000,-1.295342
230.000000,-1.279736
231.000000,-1.263954
232.000000,-1.249951
233.000000,-1.236231
234.000000,-1.222876
235.000000,-1.210507
236.000000,-1.199794
237.000000,-1.190041
238.000000,-1.181313
239.000000,-1.172930
240.000000,-1.164661
241.000000,-1.158607
242.000000,-1.151564
243.000000,-1.146159
244.000000,-1.140961
245.000000,-1.138123
246.000000,-1.134859
247.000000,-1.131279
248.000000,-1.128240
249.000000,-1.124683
250.000000,-1.123256
251.000000,-1.121370
252.000000,-1.120670
253.000000,-1.119259
254.000000,-1.116051
255.000000,-1.112085
256.000000,-1.108359
257.000000,-1.105600
258.000000,-1.102101
259.000000,-1.097522
260.000000,-1.092215
261.000000,-1.086059
262.000000,-1.079570
263.000000,-1.071931
264.000000,-1.063906
265.000000,-1.055111
266.000000,-1.045873
267.000000,-1.035321
268.000000,-1.025212
269.000000,-1.014313
270.000000,-1.002387
271.000000,-0.990470
272.000000,-0.978827
273.000000,-0.966155
274.000000,-0.952567
275.000000,-0.937742
276.000000,-0.924197
277.000000,-0.909594
278.000000,-0.893175
279.000000,-0.877035
280.000000,-0.860311
281.000000,-0.844448
282.000000,-0.825134
283.000000,-0.806577
284.000000,-0.788056
285.000000,-0.768342
286.000000,-0.747997
