timestep,value
0.000000,-0.572550
1.000000,-0.588407
2.000000,-0.603641
3.000000,-0.618002
4.000000,-0.631303
5.000000,-0.643540
6.000000,-0.655040
7.000000,-0.665894
8.000000,-0.675298
9.000000,-0.683913
10.000000,-0.691780
11.000000,-0.699002
12.000000,-0.705322
13.000000,-0.710891
14.000000,-0.715753
15.000000,-0.719118
16.000000,-0.721662
17.000000,-0.723510
18.000000,-0.724491
19.000000,-0.724411
20.000000,-0.723810
21.000000,-0.722435
22.000000,-0.720313
23.000000,-0.717153
24.000000,-0.713331
25.000000,-0.708813
26.000000,-0.703544
27.000000,-0.697652
28.000000,-0.691175
29.000000,-0.684182
30.000000,-0.676549
31.000000,-0.668198
32.000000,-0.659229
33.000000,-0.649644
34.000000,-0.639451
35.000000,-0.628438
36.000000,-0.616851
37.000000,-0.604791
38.000000,-0.592164
39.000000,-0.576169
40.000000,-0.559488
41.000000,-0.542345
42.000000,-0.524431
43.000000,-0.505979
44.000000,-0.487077
45.000000,-0.467457
46.000000,-0.447095
47.000000,-0.426165
48.000000,-0.405064
49.000000,-0.383787
50.000000,-0.362068
51.000000,-0.340067
52.000000,-0.317701
53.000000,-0.295211
54.000000,-0.272211
55.000000,-0.249048
56.000000,-0.225905
57.000000,-0.202910
58.000000,-0.180052
59.000000,-0.157423
60.000000,-0.134854
61.000000,-0.111937
62.000000,-0.088824
63.000000,-0.066003
64.000000,-0.043187
65.000000,-0.020416
66.000000,0.002169
67.000000,0.024296
68.000000,0.046509
69.000000,0.068784
70.000000,0.090274
71.000000,0.111521
72.000000,0.132831
73.000000,0.153846
74.000000,0.174512
75.000000,0.195113
76.000000,0.215729
77.000000,0.235877
78.000000,0.255179
79.000000,0.274084
80.000000,0.292776
81.000000,0.311237
82.000000,0.329335
83.000000,0.350143
84.000000,0.370205
85.000000,0.389826
86.000000,0.408789
87.000000,0.426899
88.000000,0.444330
89.000000,0.461167
90.000000,0.476813
91.000000,0.491648
92.000000,0.505764
93.000000,0.519784
94.000000,0.532721
95.000000,0.544920
96.000000,0.555994
97.000000,0.566113
98.000000,0.575205
99.000000,0.583401
100.000000,0.591014
101.000000,0.598280
102.000000,0.604526
103.000000,0.609809
104.000000,0.614076
105.000000,0.617338
106.000000,0.619677
107.000000,0.621751
108.000000,0.623111
109.000000,0.623435
110.000000,0.622760
111.000000,0.621364
112.000000,0.619019
113.000000,0.615756
114.000000,0.611569
115.000000,0.606959
116.000000,0.601975
117.000000,0.595074
118.000000,0.586880
119.000000,0.577673
120.000000,0.567359
121.000000,0.555864
122.000000,0.543347
123.000000,0.529579
124.000000,0.515150
125.000000,0.499604
126.000000,0.483359
127.000000,0.467985
128.000000,0.451942
129.000000,0.434826
130.000000,0.417155
131.000000,0.398466
132.000000,0.379360
133.000000,0.359764
134.000000,0.339482
135.000000,0.318418
136.000000,0.296793
137.000000,0.274927
138.000000,0.252321
139.000000,0.229257
140.000000,0.205770
141.000000,0.179202
142.000000,0.152693
143.000000,0.125747
144.000000,0.098459
145.000000,0.070698
146.000000,0.042450
147.000000,0.014115
148.000000,-0.014254
149.000000,-0.042061
150.000000,-0.069763
151.000000,-0.097728
152.000000,-0.125748
153.000000,-0.153328
154.000000,-0.180921
155.000000,-0.208514
156.000000,-0.235651
157.000000,-0.262094
158.000000,-0.288724
159.000000,-0.315037
160.000000,-0.343814
161.000000,-0.370028
162.000000,-0.395966
163.000000,-0.424072
164.000000,-0.451944
165.000000,-0.478956
166.000000,-0.505968
167.000000,-0.531967
168.000000,-0.557415
169.000000,-0.582089
170.000000,-0.606070
171.000000,-0.629139
172.000000,-0.652021
173.000000,-0.676504
174.000000,-0.697831
175.000000,-0.720432
176.000000,-0.742233
177.000000,-0.762980
178.000000,-0.782933
179.000000,-0.801824
180.000000,-0.819829
181.000000,-0.837276
182.000000,-0.855726
183.000000,-0.873380
184.000000,-0.890063
185.000000,-0.905824
186.000000,-0.920432
187.000000,-0.935503
188.000000,-0.947786
189.000000,-0.960301
190.000000,-0.971637
191.000000,-0.981433
192.000000,-0.990131
193.000000,-0.997878
194.000000,-1.004408
195.000000,-1.009322
196.000000,-1.013590
197.000000,-1.016227
198.000000,-1.019353
199.000000,-1.021548
200.000000,-1.021818
201.000000,-1.021209
202.000000,-1.018724
203.000000,-1.014661
204.000000,-1.009255
205.000000,-1.001320
206.000000,-0.992232
207.000000,-0.982801
208.000000,-0.971071
209.000000,-0.957836
210.000000,-0.942591
211.000000,-0.925545
212.000000,-0.906792
213.000000,-0.885802
214.000000,-0.862191
215.000000,-0.836764
216.000000,-0.809446
217.000000,-0.781471
218.000000,-0.751614
219.000000,-0.720977
220.000000,-0.689306
221.000000,-0.657160
222.000000,-0.623404
223.000000,-0.589590
224.000000,-0.554985
225.000000,-0.519802
226.000000,-0.482551
227.000000,-0.444643
228.000000,-0.405779
229.000000,-0.365820
230.000000,-0.323701
231.000000,-0.281361
232.000000,-0.240011
233.000000,-0.198844
234.000000,-0.157002
235.000000,-0.110625
236.000000,-0.063875
237.000000,-0.014048
238.000000,0.036052
239.000000,0.090050
240.000000,0.150399
241.000000,0.216041
242.000000,0.282554
243.000000,0.350516
244.000000,0.417029
245.000000,0.482101
246.000000,0.551202
247.000000,0.623726
248.000000,0.695106
249.000000,0.769143
250.000000,0.846264
251.000000,0.926218
252.000000,1.003439
253.000000,1.084235
254.000000,1.167040
255.000000,1.251330
256.000000,1.336540
257.000000,1.417861
258.000000,1.499025
