timestep,value
0.000000,-0.574169
1.000000,-0.592018
2.000000,-0.609474
3.000000,-0.625665
4.000000,-0.641265
5.000000,-0.656309
6.000000,-0.670578
7.000000,-0.684135
8.000000,-0.696941
9.000000,-0.709190
10.000000,-0.720751
11.000000,-0.731195
12.000000,-0.741120
13.000000,-0.750373
14.000000,-0.760583
15.000000,-0.770086
16.000000,-0.778359
17.000000,-0.785554
18.000000,-0.791592
19.000000,-0.797206
20.000000,-0.801854
21.000000,-0.805341
22.000000,-0.808086
23.000000,-0.809806
24.000000,-0.810901
25.000000,-0.811470
26.000000,-0.811150
27.000000,-0.809779
28.000000,-0.807510
29.000000,-0.805038
30.000000,-0.802405
31.000000,-0.797999
32.000000,-0.792553
33.000000,-0.786158
34.000000,-0.779065
35.000000,-0.771711
36.000000,-0.763081
37.000000,-0.753954
38.000000,-0.744376
39.000000,-0.733934
40.000000,-0.722789
41.000000,-0.711787
42.000000,-0.699742
43.000000,-0.686954
44.000000,-0.672216
45.000000,-0.656583
46.000000,-0.640120
47.000000,-0.623978
48.000000,-0.607034
49.000000,-0.590241
50.000000,-0.572974
51.000000,-0.554847
52.000000,-0.534069
53.000000,-0.513621
54.000000,-0.493502
55.000000,-0.472388
56.000000,-0.451174
57.000000,-0.429314
58.000000,-0.407543
59.000000,-0.383811
60.000000,-0.359984
61.000000,-0.335365
62.000000,-0.311141
63.000000,-0.286475
64.000000,-0.260172
65.000000,-0.233038
66.000000,-0.206569
67.000000,-0.180258
68.000000,-0.152245
69.000000,-0.123681
70.000000,-0.094969
71.000000,-0.065222
72.000000,-0.034853
73.000000,-0.004178
74.000000,0.027757
75.000000,0.061121
76.000000,0.094494
77.000000,0.130227
78.000000,0.165484
79.000000,0.202953
80.000000,0.239775
81.000000,0.278204
82.000000,0.318768
83.000000,0.360911
84.000000,0.404506
85.000000,0.452525
86.000000,0.501361
87.000000,0.552447
88.000000,0.606438
89.000000,0.662108
90.000000,0.720924
91.000000,0.781107
92.000000,0.843645
93.000000,0.906900
94.000000,0.971364
